species_taxid	File_name_from_ftp	organism_name
9606	GCF_000001405.39_GRCh38.p13_translated_cds.faa	Homo_sapiens.faa
10090	GCF_000001635.26_GRCm38.p6_translated_cds.faa	Mus_musculus.faa
10116	GCF_000001895.5_Rnor_6.0_translated_cds.faa	Rattus_norvegicus.faa
9785	GCF_000001905.1_Loxafr3.0_translated_cds.faa	Loxodonta_africana.faa
10116	GCF_000002265.2_Rn_Celera_translated_cds.faa	Rattus_norvegicus.faa
9612	GCF_000002285.3_CanFam3.1_translated_cds.faa	Canis_lupus_familiaris.faa
13616	GCF_000002295.2_MonDom5_translated_cds.faa	Monodelphis_domestica.faa
9823	GCF_000003025.6_Sscrofa11.1_translated_cds.faa	Sus_scrofa.faa
9986	GCF_000003625.3_OryCun2.0_translated_cds.faa	Oryctolagus_cuniculus.faa
59463	GCF_000147115.1_Myoluc2.0_translated_cds.faa	Myotis_lucifugus.faa
10141	GCF_000151735.1_Cavpor3.0_translated_cds.faa	Cavia_porcellus.faa
132908	GCF_000151845.1_Pvam_2.0_translated_cds.faa	Pteropus_vampyrus.faa
10020	GCF_000151885.1_Dord_2.0_translated_cds.faa	Dipodomys_ordii.faa
1868482	GCF_000164805.1_Tarsius_syrichta-2.0.1_translated_cds.faa	Carlito_syrichta.faa
30538	GCF_000164845.3_VicPac3.1_translated_cds.faa	Vicugna_pacos.faa
30608	GCF_000165445.2_Mmur_3.0_translated_cds.faa	Microcebus_murinus.faa
42254	GCF_000181275.1_SorAra2.0_translated_cds.faa	Sorex_araneus.faa
30611	GCF_000181295.1_OtoGar3_translated_cds.faa	Otolemur_garnettii.faa
9685	GCF_000181335.3_Felis_catus_9.0_translated_cds.faa	Felis_catus.faa
9361	GCF_000208655.1_Dasnov3.0_translated_cds.faa	Dasypus_novemcinctus.faa
9668	GCF_000215625.1_MusPutFur1.0_translated_cds.faa	Mustela_putorius_furo.faa
10029	GCF_000223135.1_CriGri_1.0_translated_cds.faa	Cricetulus_griseus.faa
27679	GCF_000235385.1_SaiBol1.0_translated_cds.faa	Saimiri_boliviensis_boliviensis.faa
